STATECD,PLOT_FIADB,INVYR,pre.vpdmin,post.vpdmin
41,78154,2002,1.2735500694,1.3056000353
41,74110,2008,1.6192000867,1.6034000875
41,72554,2002,2.34060009725,2.6031001569
41,89065,2004,1.9546000838,1.999700141
41,64299,2006,2.1798501015,2.2248001097
41,57183,2008,1.73305006625,1.6841000557
41,72099,2002,1.03550004065,1.0175000667
41,53760,2004,1.1939000666,1.2828000545
41,51874,2008,1.8101500987,1.8743000747
41,82440,2001,1.03720504635,1.2251000703
41,72195,2005,1.1572500615,1.3438000737
41,77650,2007,0.9872000635,1.1235000551
41,89543,2007,0.93435005245,1.2436000467000001
41,52687,2009,1.32050005795,1.4511600495
41,66065,2001,1.6008000791499999,1.9858000876
41,95675,2004,1.5606500686,1.9280000926
41,51061,2005,1.25485006875,1.3120000481
41,96976,2007,1.24210006005,1.2150000453
41,57698,2009,1.26135005955,1.336250043
41,50448,2002,1.55960008515,1.6234000682
41,75435,2004,2.205650133,2.4903001072
41,85781,2006,2.25150014175,2.5126000883
41,98424,2008,3.2851501346,3.5062001705
41,59915,2002,1.85270009035,1.9353001236999998
41,76053,2004,2.0129500925,2.0916000963
41,97424,2005,1.08405004745,1.1625000478
41,60388,2007,1.1334500462500001,1.2592000604
41,93271,2003,1.0519500524,1.0183000447
41,93009,2002,1.7835000932,1.8065001011
41,90786,2001,0.9136550396,1.1319000482
41,92185,2003,0.92435003515,1.0177000462999999
41,64453,2009,1.6003000677,1.811390078
41,67933,2001,1.6362550795,1.9905001046
41,73111,2001,1.45052006245,1.4948000669
41,70076,2003,1.69390007855,1.846100092
41,56309,2005,2.81525012255,3.1543001651
41,89128,2007,2.92410013675,3.1298001765
41,64359,2008,1.8212000847,1.8941001059
41,75901,2007,0.95290004615,1.0363000391
41,53925,2009,1.2902000458,1.4107000589
41,56861,2001,1.22759506105,1.2652000665
41,68713,2007,1.1056500554,1.204300058
41,52572,2008,0.94135005175,1.0936000585
41,84110,2005,1.4320500732,1.7230000852
41,65549,2001,2.20530011065,2.5850001572
41,72327,2007,2.51965011365,2.4897001267
41,98796,2009,2.12070009705,2.0334801077
41,78511,2008,1.1236000597,1.2943000736
41,73080,2004,1.1598000616,1.1805000543
41,98105,2004,1.2462000669,1.5254000662
41,65260,2006,1.1798000573,1.3674000503000001
41,81838,2003,1.76095007665,1.8402000786000001
41,76362,2003,2.1323500931,2.075500071
41,55237,2004,1.10680005845,1.1881000579
41,69744,2001,0.79669003335,0.9793000517
41,97421,2009,1.16890006065,1.3715000569
41,62602,2006,1.4715500682,1.6569000841000001
41,96993,2006,1.8723500908,2.1221000791
41,73042,2002,2.10810009835,2.0519000649
41,69024,2004,2.4684501111,2.4956001282
41,51491,2007,2.1372500895499997,2.043000102
41,69879,2002,2.08530008195,2.1113000988
41,83281,2004,2.27455007435,2.3207000852
41,98646,2006,2.13845010995,1.9982001305
41,52244,2002,0.3391500143,0.2861000172
41,51792,2003,0.46405002245,0.4071000188
41,52295,2005,1.6900000811,2.0070000649
41,96738,2003,1.27050005495,1.1836000442
41,63572,2001,2.819395113,3.1863001584
41,69534,2005,2.1892500997,2.1303001164
41,91259,2001,1.09432505065,1.2900000691
41,70684,2009,3.2860001445,3.4708701133999997
41,60287,2007,2.2222501219,2.0325000882
41,71216,2002,1.3545500724,1.5997000694999999
41,73746,2004,1.5249500751,1.9074000834
41,71025,2008,1.43485006995,1.7629000784
41,52454,2002,1.46100007585,1.57960006
41,82129,2008,2.23570010065,2.504100108
41,55172,2001,2.288185072,2.1694001198
41,93649,2003,2.9053001523,2.8285001516
41,59736,2008,1.57980006925,1.983200109
41,54140,2001,0.68069003815,0.5846000313999999
41,51393,2003,0.85255004475,0.7835000396
41,61596,2002,2.89410014145,3.1984001636
41,57712,2006,0.51150002275,0.440500015
41,67521,2009,0.52660002405,0.7609300345
41,51388,2007,1.51990005675,2.0415001274
41,59769,2009,1.5989000528,2.0103200555
41,91145,2002,2.1083500862,2.4070001363
41,95650,2004,3.2104001641,3.5408001898
41,87398,2003,0.4399500239,0.4162000149
41,73863,2001,0.7784050419,0.613500032
41,57095,2006,1.66830008045,1.9921000838
41,55724,2001,1.5162300587,1.8937000871
41,65478,2003,1.6153000653,2.0003000735
41,50928,2007,0.99655005635,0.9513000369
41,60442,2009,1.2119000643,1.2746400475
41,55839,2001,1.9447551012,2.3199001191
41,59068,2001,1.8656650721499999,2.1680001139
41,91363,2003,2.52975013255,2.8204001426
41,88620,2005,2.67600011225,3.0260001422
41,51818,2007,3.2451501609499998,3.4575001476000002
41,75400,2008,1.66945008035,2.0855000973
41,68429,2004,1.56600007415,1.8494000792
41,87238,2002,1.574350077,1.8350001216
41,71694,2005,2.57955013505,2.8900001049
41,85785,2009,2.0795501113,2.3025800825
41,60838,2001,3.323480165,3.8832002403
41,97616,2007,1.77465008505,2.2534000993
41,55512,2009,1.72430008055,1.8590200662
41,52991,2001,1.58853506745,2.1912001133
41,89626,2008,1.64520008565,2.0914001107
41,79166,2006,1.07410005325,1.2492000462
41,91055,2008,1.64630008935,1.9043000935
41,68745,2009,2.31065011025,2.4993000747
41,93155,2003,1.71960007535,2.0854001166
41,86032,2007,2.04770012505,2.3573001265999998
41,56794,2009,1.79635007375,2.0343000887000002
41,78357,2006,1.9966000737,2.3053001166
41,94007,2008,2.25195008515,2.5132001043
41,68570,2002,1.71185008875,2.1174000978
41,66845,2004,1.8552500964,2.2311000943
41,59100,2008,1.95240010025,2.2194000839
41,65073,2002,1.7378500759,2.1702001213999997
41,53634,2009,2.2956500888,2.453410089
41,77359,2001,1.3356250584,1.4404000642
41,66242,2003,1.61750007865,1.8584001064
41,64110,2005,2.1815001011,2.5811001181999997
41,62559,2007,1.1039000512000001,1.487000084
41,68445,2004,1.7768000722,2.1871001122
41,52310,2006,2.03685010085,2.3391001345
41,94409,2008,2.0787000655,2.3675001264
41,71018,2005,1.4453000725,1.7016000866
41,54411,2007,1.68035008315,1.9757000923999999
41,91817,2003,2.37495011085,2.5111001015
41,99429,2007,1.4508500635000001,1.5248000621
41,86279,2009,1.494250077,1.462790066
41,82109,2005,1.8185500801,2.1195001006
41,75291,2007,1.75565007335,2.1016001104
41,91462,2006,1.7404000849499999,2.0069001079
41,61070,2004,1.7049000799,2.0603000761
41,76661,2007,1.8962000846,2.2551000951
41,54523,2002,1.35175006095,1.5052000761
41,76158,2009,1.88765009635,2.0138100983
41,87137,2001,1.61372007145,2.1220000982
41,53953,2003,2.2606501162,2.2960001111
41,82662,2008,1.7769500911,1.985200107
41,95312,2006,1.37605006695,1.6573000908
41,95139,2006,1.8777000844,2.2336001037
41,60699,2008,2.6181001187,3.0204001427
41,83910,2002,1.41275007415,1.5295000731
41,53931,2008,1.6392000795500001,1.7889000772
41,51917,2005,1.0316000521,1.1234000384
41,66228,2007,0.98170005085,1.0596000374
41,90395,2009,1.0260000496,1.1782600404
41,73637,2001,1.37698005145,1.5869000674
41,51179,2003,1.4761500745,1.4874000789
41,64028,2006,1.6658000707,1.8868000508
41,97063,2001,0.9637000322,1.0323000669
41,69423,2006,2.37040010085,2.5627001168
41,66474,2001,1.35621005595,1.5576000691
41,91882,2003,1.4335000604500001,1.6786000966999999
41,67385,2003,0.9806500434500001,0.957700044
41,65274,2004,1.0211500526,1.090400052
41,59194,2009,1.12215005155,1.6695400833
41,87290,2002,1.43920006155,1.6664000749
41,77206,2005,3.0479501008,3.457400179
41,69779,2001,1.43268506235,1.5773000658
41,95169,2005,2.15630010375,2.5276000979
41,98093,2009,1.92945010065,1.9705300808
41,72589,2002,0.97365004125,0.8633000433
41,83411,2008,1.1416000487,1.5794000686
41,71072,2005,1.1791000664,1.622100097
41,72297,2007,2.12365008595,2.5870001196
41,89267,2003,2.7645501255,2.9097001078
41,68926,2008,1.89340009095,2.1180001021
41,79773,2008,1.46160007425,1.6499000906
41,96462,2007,1.6439500868499999,1.9303000927
41,95329,2006,1.2356000572,1.3306000471
41,55055,2005,0.83850003485,0.9593000469999999
41,82763,2006,2.7494501233,2.76010015
41,79188,2001,0.7373650327,0.8441000401
41,58486,2005,1.75730007885,2.0396000981
41,57827,2001,2.1503501117,2.573400116
41,94539,2007,1.8529500962,2.165700078
41,75648,2009,1.8015001058,1.9712100982
41,79705,2008,1.77270008315,2.0670001149
41,82003,2008,1.76450008745,2.0315000773
41,71356,2006,2.3518001139,2.8325001479
41,51563,2009,1.27135006195,1.6523500682
41,96444,2004,1.7902500868,2.0124001145
41,63683,2004,0.46105001715,0.7164000242
41,77142,2003,1.74790007475,1.8889001251
41,98127,2008,1.56380009065,1.9180000424
41,96111,2006,1.9102501034,2.1181001068
41,58837,2009,1.7334500848999999,1.9451001049
41,92416,2007,1.6094000636499999,2.1366000892
41,57099,2002,2.0419001162,2.2971001029
41,92085,2004,1.9405000925,2.0354001045
41,56972,2008,1.7548500716,2.0276000856
41,85100,2004,0.35830001615,0.48130002320000004
41,80486,2003,0.97775003605,1.0288000464
41,66256,2003,1.83415008185,2.1168000817
41,79500,2008,2.08585010165,2.4222001313
