State_Plot,LAT,LON,n
509396,37.794625,-123.165556,2
509406,36.404545,-118.60419,2
509416,37.730894,-122.974338,2
509426,37.693359,-122.93904,2
509436,37.687796,-122.999204,2
509446,37.682193,-123.059358,2
509456,36.537015,-120.62221,2
509466,37.790269,-121.31755,2
509476,36.153609,-117.211171,2
509536,36.766704,-117.092451,1
509556,34.541929,-119.8808,1
509606,36.610549,-117.090826,1
509626,33.898328,-114.590823,2
509636,41.573139,-124.159677,2
509646,41.332607,-124.116957,2
509656,36.290002,-120.749801,2
509666,39.647046,-123.836046,2
509676,34.219883,-118.256852,1
509686,41.411865,-120.5765,2
509696,38.700391,-123.506191,2
509706,38.774887,-123.578919,1
509716,38.737645,-123.542524,2
509726,38.663116,-123.469896,2
509736,34.414336,-116.601039,2
509746,38.551201,-123.361317,2
509756,38.513861,-123.325218,2
509766,41.169086,-120.210636,1
509816,35.255508,-118.02364,2
509906,36.130539,-117.012837,1
509926,40.911469,-120.535099,2
509966,40.565549,-120.638818,2
509976,38.869698,-121.482809,2
510006,36.527066,-121.671424,2
510066,34.040316,-119.90342,2
510086,34.122503,-118.7479,2
510116,41.973887,-124.232385,2
510126,40.064278,-121.416016,1
510136,41.930534,-124.256975,1
510146,38.260532,-119.175158,2
510156,41.873929,-124.409227,2
510166,41.8504,-124.242274,2
510176,41.843821,-124.306083,2
510186,41.807044,-124.266848,2
510196,39.69577,-123.554454,1
510206,34.230708,-117.464267,2
510226,41.800452,-124.330612,2
510236,34.081792,-115.191439,2
510246,41.69113,-124.160627,2
510256,41.6533,-124.174071,2
510266,41.726908,-124.252226,1
510276,41.690111,-124.21312,2
510286,41.757086,-124.35512,2
510296,41.536299,-124.120753,2
510306,41.499435,-124.081886,1
510316,41.492966,-124.145368,2
510326,41.45611,-124.106513,2
510336,41.424813,-124.089204,2
510346,36.168229,-118.111576,2
510356,41.369462,-124.155706,2
510366,41.362953,-124.219053,2
510376,41.326129,-124.180273,2
510386,41.289274,-124.141536,1
510396,41.303971,-124.103018,2
510406,41.245944,-124.166107,1
510416,34.301166,-117.462681,2
510426,41.159278,-124.215164,2
510436,41.122431,-124.176556,1
510446,41.042241,-124.162527,2
510456,41.115932,-124.239663,2
510466,41.079094,-124.201067,2
510476,41.005366,-124.124041,2
510486,33.614351,-117.094238,1
510496,37.719236,-118.483291,2
510506,34.41742,-117.542372,2
510516,40.875376,-124.197601,2
510526,34.23574,-115.593264,2
510536,40.832042,-124.222082,1
510546,37.926826,-118.826419,2
510556,40.702009,-124.295384,2
510566,41.44601,-122.212141,1
510576,40.019894,-124.107145,1
510586,38.211441,-120.561853,2
510596,34.248399,-116.831276,1
510606,34.049437,-116.390303,1
510616,39.881797,-123.936283,2
510626,40.385149,-123.65993,1
510636,39.838513,-123.960811,1
510646,34.914599,-117.511592,2
510656,39.727386,-123.848731,2
510666,39.764444,-123.886043,2
510676,39.609961,-123.798859,2
510686,39.566704,-123.823439,2
510696,34.869088,-114.870366,2
510706,39.496472,-123.82561,2
510716,39.480182,-123.872543,1
510726,39.443098,-123.835451,2
510736,39.399832,-123.859997,2
510746,34.538848,-117.757072,2
510756,39.31948,-123.847517,1
510766,36.192374,-120.411986,1
510776,40.443774,-122.269122,2
510786,39.202006,-123.798218,1
510796,37.957501,-120.460633,2
510806,39.130542,-123.749227,2
510816,39.084496,-123.749181,2
510826,39.047339,-123.712469,2
510836,39.004096,-123.737041,2
510846,40.294274,-120.878921,1
510856,38.917602,-123.786127,2
510866,38.880445,-123.749516,1
510876,38.844571,-123.672153,2
510886,38.843276,-123.712944,2
510896,38.806095,-123.676433,2
510906,38.768893,-123.63996,1
510926,38.465641,-119.293306,1
510966,41.830539,-124.433684,1
510976,40.455398,-121.701818,2
510986,40.461412,-123.213193,1
510996,40.229978,-121.640896,1
511006,40.485206,-124.417163,2
511016,40.979407,-120.678902,2
511026,39.255737,-121.079848,1
511036,40.324854,-124.389472,2
511046,40.281489,-124.413768,2
511056,40.997812,-121.858765,2
511066,37.420757,-119.414016,2
511076,36.937658,-117.24589,2
511086,37.808356,-120.091807,2
511096,40.103631,-124.161958,2
511106,40.066705,-124.124216,1
511116,40.134108,-124.261966,1
511126,40.097216,-124.224142,2
511206,36.037241,-121.255914,2
511216,37.643722,-122.087008,2
511236,39.598602,-121.162137,1
511266,38.503775,-120.174542,2
511316,37.283849,-120.388892,1
511376,41.825187,-122.937363,2
511516,41.69166,-123.2662,1
511566,39.994664,-120.769083,2
511596,36.607751,-118.171534,2
511606,36.199607,-121.249301,2
511636,38.168548,-119.495566,2
511656,36.158652,-118.353335,1
511666,41.951537,-120.65895,2
511696,37.638967,-118.923975,2
511716,34.092035,-118.492964,2
511746,35.943897,-117.396698,2
511786,39.233401,-122.401641,2
511866,33.993962,-120.15315,1
511906,35.3492,-115.10893,2
511966,36.257406,-118.103299,1
511996,37.455114,-122.093107,2
512016,36.942695,-118.357539,2
512026,39.268192,-121.432512,2
512046,39.224651,-120.630123,2
512066,33.340309,-115.411746,1
512186,40.912683,-122.943561,2
512266,37.703145,-118.854081,2
512276,35.726941,-116.467354,2
512336,38.360983,-122.532864,2
512386,41.870246,-120.172507,2
512396,35.042325,-116.185497,2
512406,33.35432,-116.584119,2
512446,32.63525,-116.121865,2
512546,41.464583,-121.275818,2
512606,37.559125,-121.988726,2
512686,33.209758,-117.177139,2
512736,40.509012,-123.327091,2
512746,40.857561,-122.94591,2
512826,34.865961,-116.179509,2
512876,34.28655,-115.215244,2
512906,39.736417,-120.391007,2
512916,40.463477,-122.94099,1
512926,39.623779999999996,-121.914047,2
512946,41.634298,-123.329982,2
512976,41.102547,-122.745649,2
512986,38.111119,-120.510484,2
513026,34.563746,-117.897613,2
513056,34.648738,-118.690711,2
513066,37.382159,-119.053295,2
513076,35.198575,-116.591746,2
513096,35.067984,-114.845061,2
513116,39.128059,-122.195839,2
513136,35.144385,-119.3907,2
513266,39.419672,-123.221611,1
513276,38.380857,-122.008491,2
513286,40.31035,-121.441795,2
513306,40.863223,-123.802304,2
513366,32.679555,-115.796523,2
513396,39.1176,-121.809119,1
513426,38.094646,-120.663835,2
513476,35.770644,-119.8394,1
513506,35.558326,-118.018937,1
513526,34.98108,-116.559548,2
513536,39.915966,-122.825688,2
513606,34.787547000000004,-116.343831,2
513676,35.431508,-118.875012,2
513716,33.253741,-116.895368,2
513746,36.962855,-120.415012,2
513756,35.530368,-118.121212,2
513786,40.449573,-124.136261,2
513796,34.248138,-115.017656,2
513866,33.899774,-116.052145,2
513906,37.280401,-120.563918,2
513946,37.168347,-121.034258,2
514036,34.052472,-118.401253,2
514086,39.922439,-122.948016,1
514106,40.547584,-122.410801,1
514146,35.653561,-120.770976,2
514196,34.530292,-118.796792,1
514236,34.02767,-117.01516,2
514316,35.395507,-120.29666,2
514346,37.5602,-122.221881,2
514426,40.529303,-120.784448,2
514436,35.946213,-118.997147,2
514446,40.476174,-122.427801,2
514486,40.408382,-123.014321,1
514516,35.822468,-119.640264,1
514546,35.536805,-115.710071,2
514576,40.473057,-121.95029100000001,2
514646,41.911425,-123.162925,1
514656,39.491468,-121.065042,2
514686,37.069343,-119.835294,1
514696,40.201566,-121.661214,2
514746,37.858983,-118.426404,2
514816,35.108547,-120.127373,2
514846,38.081942,-120.114196,1
514926,34.403875,-114.50539,2
514986,37.988305,-120.87994,1
514996,40.988821,-120.86199,2
515006,34.594132,-117.210625,2
515066,33.596776,-116.356065,2
515076,34.531837,-118.377232,2
515116,34.268609,-118.13692,1
515146,36.054864,-119.024417,2
515226,39.622747,-120.852142,1
515256,38.08203,-121.582252,2
515266,35.358536,-116.534374,2
515276,38.087142,-122.454036,2
515396,34.518957,-120.274013,2
515416,40.751244,-121.385025,1
515446,37.182821,-119.005531,1
515476,35.576848,-119.628594,2
515496,38.636931,-122.246656,2
515526,40.147311,-121.411752,2
515576,32.911487,-116.593705,2
515596,37.653847,-122.251071,2
515616,34.072251,-115.470733,2
515626,33.915385,-115.30168,2
515706,35.002553,-118.248806,2
515716,38.955156,-123.52391,1
515766,36.896225,-121.949435,2
515866,37.889941,-121.70542,2
515926,36.856086,-119.383377,2
515936,36.157334,-116.975266,2
516046,36.745188,-118.902737,2
516056,38.115742,-118.782392,1
516126,38.761161,-120.850237,2
516176,36.471982,-119.624398,2
516216,37.285851,-121.300556,1
516296,39.590098,-120.204415,2
516326,41.25606,-123.136297,2
516356,34.298293,-114.354887,2
516406,38.580809,-120.434995,2
516496,40.302325,-123.981467,1
516646,41.517911,-120.653889,2
516686,37.49034,-120.70346,2
516726,33.796999,-116.649975,2
516766,36.28621,-120.573467,1
516796,39.312598,-123.721162,2
516806,34.46275,-117.59992,1
516826,37.209238,-118.127486,2
516846,34.711421,-117.417305,1
516876,36.626216,-119.450924,1
516906,41.746054,-121.218406,1
516916,36.198296,-118.899879,2
516996,39.276319,-122.771507,2
517016,35.653285,-120.892722,2
517036,37.771525,-120.664339,2
517076,34.749577,-119.931272,2
517106,33.757514,-117.474906,2
517146,33.62995,-115.106496,1
517176,33.41098,-117.195822,2
517196,38.816085,-123.097615,2
517206,35.359175,-117.734565,1
517256,36.204858,-120.059034,2
517266,32.896194,-115.040841,2
517306,36.733826,-120.269351,2
517316,34.955721,-118.831545,2
517376,36.005656,-116.052478,2
