puid,stratum,STATECD,ESTN_UNIT,STRATUMCD,INTENSITY,EVALID,END_INVYR
72778_41_29,13203041,41,3,132,1,411703,2017
67699_41_39,15703041,41,3,157,1,411703,2017
56497_41_39,15703041,41,3,157,1,411703,2017
64236_41_39,15703041,41,3,157,1,411703,2017
95540_41_39,18703041,41,3,187,1,411703,2017
71199_41_9,18703041,41,3,187,1,411703,2017
95162_41_13,12303041,41,3,123,1,411803,2018
64551_41_13,12303041,41,3,123,1,411803,2018
57633_41_25,12603041,41,3,126,1,411703,2017
56261_41_17,12303041,41,3,123,1,411803,2018
80829_41_21,15703041,41,3,157,1,411703,2017
73755_41_37,12303041,41,3,123,1,411703,2017
58607_41_25,12303041,41,3,123,1,411703,2017
53083_41_31,17403041,41,3,174,1,411703,2017
94951_41_37,12303041,41,3,123,1,411803,2018
83804_41_37,12303041,41,3,123,1,411703,2017
77314_41_65,17403041,41,3,174,1,411703,2017
86111_41_55,17403041,41,3,174,1,411703,2017
96444_41_21,12303041,41,3,123,1,411803,2018
74636_41_69,17403041,41,3,174,1,411703,2017
51096_41_65,2501041,41,1,25,1,411803,2018
80743_41_65,18903041,41,3,189,1,411703,2017
97189_41_65,18603041,41,3,186,1,411703,2017
85328_41_65,18603041,41,3,186,1,411703,2017
90058_41_39,6501041,41,1,65,1,411803,2018
54403_41_39,5201041,41,1,52,1,411703,2017
80304_41_39,6401041,41,1,64,1,411803,2018
54697_41_43,15403041,41,3,154,1,411903,2019
51242_41_29,14903041,41,3,149,1,411703,2017
55687_41_7,16703041,41,3,167,1,411703,2017
81128_41_19,5001041,41,1,50,1,411803,2018
94475_41_39,5201041,41,1,52,1,411703,2017
90661_41_39,6501041,41,1,65,1,411803,2018
74564_41_7,18203041,41,3,182,1,411703,2017
60350_41_43,15703041,41,3,157,1,411703,2017
87398_41_3,16403041,41,3,164,1,411703,2017
72707_41_19,5101041,41,1,51,1,411803,2018
93661_41_19,5301041,41,1,53,1,411703,2017
61762_41_19,8901041,41,1,89,1,411803,2018
88518_41_57,14403041,41,3,144,1,411703,2017
99078_41_43,6601041,41,1,66,1,411803,2018
98622_41_43,19003041,41,3,190,1,411703,2017
62912_41_47,15703041,41,3,157,1,411703,2017
69359_41_5,15703041,41,3,157,1,411703,2017
65656_41_39,6401041,41,1,64,1,411803,2018
72342_41_29,15803041,41,3,158,1,411703,2017
75854_41_37,12303041,41,3,123,1,411703,2017
94623_41_37,18603041,41,3,186,1,411703,2017
84884_41_23,17603041,41,3,176,1,411703,2017
