PLT_CN,STATECD,INVYR,PLOT_FIADB
23741322010900,6,2001,55276
23726558010900,6,2001,55280
29880544010497,6,2009,55282
22953697010497,6,2007,55297
25005860010900,6,2004,55305
29881121010497,6,2009,55316
24221254010900,6,2003,55324
23677412010900,6,2001,55357
25056154010900,6,2004,55360
23832707010900,6,2002,55365
22953576010497,6,2007,55387
8977279010901,6,2005,55395
22930358010497,6,2008,55404
13161978010497,6,2005,55405
29880732010497,6,2009,55425
8915256010901,6,2006,55447
23988373010900,6,2002,55449
29880028010497,6,2009,55452
24281908010900,6,2003,55486
22953069010497,6,2007,55516
24218244010900,6,2003,55518
23831858010900,6,2002,55539
24330523010900,6,2003,55542
22931890010497,6,2008,55543
13171555010497,6,2005,55548
22953478010497,6,2007,55557
29880967010497,6,2009,55561
24343433010900,6,2003,55567
25148553010900,6,2004,55569
22953135010497,6,2007,55571
29880485010497,6,2009,55626
25120980010900,6,2004,55635
24338475010900,6,2003,55643
25142593010900,6,2004,55651
24275643010900,6,2003,55668
22953361010497,6,2007,55673
23730656010900,6,2001,55696
8972241010901,6,2006,55699
25054535010900,6,2004,55709
24276755010900,6,2003,55711
22953371010497,6,2007,55719
23712595010900,6,2001,55723
29881372010497,6,2009,55735
25059583010900,6,2004,55739
22953570010497,6,2007,55742
13109631010497,6,2005,55748
41117656010497,6,2006,55794
24247173010900,6,2003,55818
13094808010497,6,2005,55828
23966722010900,6,2002,55836
22953604010497,6,2006,55853
13101466010497,6,2005,55910
22929970010497,6,2008,55920
13071022010497,6,2005,55922
22930568010497,6,2008,55934
25155286010900,6,2004,55941
8965040010901,6,2006,55948
24976092010900,6,2004,55987
13086968010497,6,2005,56011
29881135010497,6,2009,56045
8950375010901,6,2006,56047
23998940010900,6,2002,56057
8955350010901,6,2006,56069
25145650010900,6,2004,56086
23723980010900,6,2001,56099
22931869010497,6,2008,56110
25009268010900,6,2004,56116
23816337010900,6,2002,56117
